OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"1985-056B","ARIANE 1 R/B","15876","FR","410.51","8.02","23408","429","LARGE","0","1985-07-02",""
"1985-056A","GIOTTO","15875","ESA","","","","","","0","1985-07-02","HELIOCENTRIC ORBIT (SUN)"
"1985-055B","ATLAS CENTAUR R/B","15874","US","451.01","23.19","25913","293","LARGE","0","1985-06-30",""
"1985-055A","INTELSAT 511","15873","ITSO","1438.86","15.22","35890","35791","LARGE","0","1985-06-30",""
"1985-048H","TELSTAR 3D R/B(PAM-D)","15837","US","634.09","25.82","35759","383","LARGE","0","1985-06-17",""
"1985-048G","ARABSAT 1B R/B(PAM-D)","15836","US","600.57","26.33","34053","349","LARGE","0","1985-06-17",""
"1985-048F","MORELOS 1 R/B(PAM-D)","15832","US","608.19","25.19","34432","369","LARGE","0","1985-06-17",""
"1985-049D","SL-6 R/B(2)","15830","CIS","724.84","67.06","37547","3155","LARGE","0","1985-06-18",""
"1985-049A","COSMOS 1661","15827","CIS","716.99","67.63","36585","3731","LARGE","0","1985-06-18",""
"1985-048D","TELSTAR 303","15826","US","1441.88","15.10","35911","35888","LARGE","0","1985-06-17",""
"1985-048C","ARABSAT 1B","15825","AB","1433.73","15.06","35799","35682","LARGE","0","1985-06-17",""
"1985-048B","MORELOS 1","15824","MEX","1447.71","15.37","36020","36007","LARGE","0","1985-06-17",""
"1985-047B","SL-14 R/B","15822","CIS","116.01","73.62","1520","1482","LARGE","0","1985-06-14",""
"1985-047A","COSMOS 1660","15821","CIS","116.06","73.62","1524","1482","LARGE","0","1985-06-14",""
"1973-086GT","DELTA 1 DEB *","15789","US","116.90","103.46","1883","1200","SMALL","0","1973-11-06",""
"1978-026GT","DELTA 1 DEB","15788","US","103.70","98.77","1024","842","SMALL","0","1978-03-05",""
"1984-019C","SL-8 DEB","15785","CIS","98.74","74.04","706","691","SMALL","0","1984-02-21",""
"1979-060D","SL-8 DEB","15784","CIS","98.23","74.00","676","672","SMALL","0","1979-06-28",""
"1961-015LG","THOR ABLESTAR DEB","15783","US","98.96","67.04","746","672","SMALL","0","1961-06-29",""
"1981-053KE","COSMOS 1275 DEB","15780","CIS","103.64","82.82","973","888","SMALL","0","1981-06-04",""
"1968-091DA","COSMOS 249 DEB","15775","CIS","111.60","62.30","1843","758","SMALL","0","1968-10-20",""
"1985-042F","SL-12 R/B(AUX MOTOR)","15774","CIS","101.14","66.59","826","799","MEDIUM","0","1985-05-30",""
"1985-042E","SL-12 R/B(AUX MOTOR)","15773","CIS","100.92","66.59","827","778","MEDIUM","0","1985-05-30",""
"1985-042D","SL-12 R/B(2)","15772","CIS","101.32","71.11","846","797","LARGE","0","1985-05-30",""
"1981-043C","SL-3 DEB","15769","CIS","102.36","81.28","914","826","SMALL","0","1981-05-14",""
"1981-053KD","COSMOS 1275 DEB","15768","CIS","102.63","83.08","921","846","SMALL","0","1981-06-04",""
"1981-053KC","COSMOS 1275 DEB","15767","CIS","100.83","82.92","803","793","SMALL","0","1981-06-04",""
"1981-053KB","COSMOS 1275 DEB","15766","CIS","101.18","82.94","820","809","SMALL","0","1981-06-04",""
"1973-081C","SCOUT A-1 DEB","15764","US","105.55","90.45","1157","884","SMALL","0","1973-10-30",""
"1976-126BU","COSMOS 886 DEB","15762","CIS","114.44","65.67","2019","841","SMALL","0","1976-12-27",""
"1983-079D","SL-8 DEB","15756","CIS","98.25","74.05","681","668","SMALL","0","1983-08-03",""
"1985-042A","COSMOS 1656","15755","CIS","101.38","71.11","848","799","LARGE","0","1985-05-30",""
"1985-041B","SL-8 R/B","15752","CIS","104.87","82.95","1007","970","LARGE","0","1985-05-30",""
"1985-041A","COSMOS 1655","15751","CIS","104.98","82.95","1013","974","LARGE","0","1985-05-30",""
"1985-040D","SL-6 R/B(2)","15741","CIS","731.65","64.48","39210","1827","LARGE","0","1985-05-29",""
"1985-040A","MOLNIYA 3-24","15738","CIS","563.32","64.54","30965","1467","LARGE","0","1985-05-29",""
"1985-037H","SL-12 R/B(AUX MOTOR)","15715","CIS","276.47","52.01","15058","302","MEDIUM","0","1985-05-17",""
"1985-037G","SL-12 R/B(AUX MOTOR)","15714","CIS","305.09","51.91","16885","384","MEDIUM","0","1985-05-17",""
"1985-037F","SL-12 R/B(2)","15702","CIS","675.04","64.08","19196","19029","LARGE","0","1985-05-17",""
